epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,979.523,0.51268,0.87697,0.45233,0.945,0.79363,0.62255,0.70167,0.59982,0.78471,0.61697,0.69468,0.58181,0.56679,1.18669,0.72124,1.00552,0.00018575,0.00018575,0.00018575
88,990.495,0.49566,0.85065,0.42068,0.93652,0.79283,0.64638,0.70922,0.60831,0.78484,0.64032,0.70574,0.58702,0.56336,1.1609,0.68647,1.00291,0.000173375,0.000173375,0.000173375
89,1001.58,0.51152,0.88597,0.45822,0.93536,0.79538,0.64375,0.70744,0.60472,0.79538,0.64375,0.70542,0.58932,0.5646,1.1653,0.69947,1.0025,0.000161,0.000161,0.000161
90,1012.49,0.50206,0.836,0.42862,0.95461,0.79432,0.63508,0.70285,0.59702,0.79067,0.63242,0.69748,0.58165,0.57807,1.16658,0.70499,1.00976,0.000148625,0.000148625,0.000148625
91,1041.86,0.42388,0.75063,0.37793,0.89811,0.75856,0.6464,0.70445,0.59799,0.82402,0.60558,0.69806,0.5849,0.58,1.21082,0.74191,1.01504,0.00013625,0.00013625,0.00013625
92,1053.02,0.42347,0.74237,0.39361,0.89964,0.81983,0.62375,0.70719,0.59451,0.81636,0.621,0.69725,0.58215,0.56666,1.19767,0.75396,1.00544,0.000123875,0.000123875,0.000123875
93,1063.88,0.42609,0.76484,0.36916,0.90855,0.79387,0.64366,0.71653,0.60448,0.78537,0.63779,0.70884,0.58907,0.5694,1.18844,0.68992,1.01141,0.0001115,0.0001115,0.0001115
94,1074.74,0.41154,0.7128,0.37165,0.89818,0.76828,0.65136,0.71681,0.60812,0.76503,0.64861,0.71043,0.5891,0.56523,1.18478,0.71064,1.00641,9.9125e-05,9.9125e-05,9.9125e-05
95,1085.66,0.3967,0.70281,0.34012,0.88077,0.78421,0.62624,0.70994,0.59618,0.77609,0.62006,0.70139,0.57932,0.5724,1.19054,0.7244,1.00949,8.675e-05,8.675e-05,8.675e-05
96,1096.47,0.40686,0.70828,0.33915,0.88524,0.76844,0.6386,0.71153,0.60299,0.76113,0.63243,0.70052,0.5825,0.5659,1.19856,0.70999,1.00868,7.4375e-05,7.4375e-05,7.4375e-05
97,1107.36,0.39193,0.7153,0.3378,0.89608,0.78936,0.63511,0.71407,0.60668,0.78259,0.62718,0.70447,0.58809,0.56182,1.19726,0.71889,1.00939,6.2e-05,6.2e-05,6.2e-05
98,1118.18,0.38815,0.69447,0.32901,0.87671,0.7625,0.63664,0.71397,0.60838,0.75004,0.62712,0.70305,0.5915,0.56435,1.18326,0.71232,1.01058,4.9625e-05,4.9625e-05,4.9625e-05
99,1129.12,0.39617,0.70094,0.33484,0.88489,0.80675,0.62122,0.71755,0.60638,0.80205,0.61098,0.70616,0.59082,0.56757,1.18571,0.70894,1.01145,3.725e-05,3.725e-05,3.725e-05
100,1139.99,0.38395,0.67638,0.3192,0.88125,0.77467,0.62545,0.71586,0.60535,0.79084,0.60762,0.70468,0.59099,0.56293,1.18557,0.703,1.00597,2.4875e-05,2.4875e-05,2.4875e-05
